"Gender","MaritalStatus","TotalChildren","AvgMonthSpend","BikeBuyerText","Edad","Rango de edad"
"1","0","1","51","1","36","27 - 59"
"1","0","2","53","1","52","27 - 59"
"0","1","0","54","1","38","27 - 59"
"1","0","2","57","1","46","27 - 59"
"1","1","0","55","1","49","27 - 59"
"0","0","2","49","1","49","27 - 59"
"1","1","0","56","0","52","27 - 59"
"0","0","0","49","1","27","27 - 59"
"0","0","2","50","1","47","27 - 59"
"1","1","0","54","0","47","27 - 59"
"0","1","0","54","0","25","23 - 26"
"1","0","0","58","0","43","27 - 59"
"0","0","2","53","1","39","27 - 59"
"1","0","2","52","0","64","60 - 94"
"1","1","0","50","0","33","27 - 59"
"0","0","2","49","1","53","27 - 59"
"0","1","1","50","1","59","27 - 59"
"1","1","0","51","1","31","27 - 59"
"1","0","2","59","0","43","27 - 59"
"1","1","1","52","0","61","60 - 94"
"0","0","2","50","0","44","27 - 59"
"0","0","2","53","1","47","27 - 59"
"1","1","1","52","0","62","60 - 94"
"1","0","0","50","0","27","27 - 59"
"0","0","0","49","1","31","27 - 59"
"0","1","0","52","1","35","27 - 59"
"1","0","1","50","1","34","27 - 59"
"1","0","2","51","1","58","27 - 59"
"1","1","0","54","1","41","27 - 59"
"0","0","1","51","0","37","27 - 59"
"0","0","2","49","1","39","27 - 59"
"0","1","0","49","0","43","27 - 59"
"0","1","0","55","1","45","27 - 59"
"1","0","2","56","1","46","27 - 59"
"1","0","0","51","0","27","27 - 59"
"1","0","1","50","0","36","27 - 59"
"1","1","0","51","0","33","27 - 59"
"0","1","0","52","1","28","27 - 59"
"0","1","0","52","1","37","27 - 59"
"1","0","1","53","1","41","27 - 59"
"0","0","2","49","0","38","27 - 59"
"1","0","1","52","0","42","27 - 59"
"0","1","0","50","0","37","27 - 59"
"1","0","2","54","1","35","27 - 59"
"0","1","0","51","0","39","27 - 59"
"0","1","0","48","0","50","27 - 59"
"1","0","1","50","1","42","27 - 59"
"0","0","2","51","0","53","27 - 59"
"1","1","0","48","1","39","27 - 59"
"0","0","1","52","1","35","27 - 59"
"1","1","0","51","1","28","27 - 59"
"0","0","1","56","1","37","27 - 59"
"0","1","0","51","1","39","27 - 59"
"1","1","0","48","1","29","27 - 59"
"1","1","0","57","1","38","27 - 59"
"1","1","0","46","0","26","23 - 26"
"0","1","1","51","0","57","27 - 59"
"0","1","0","51","0","30","27 - 59"
"0","0","1","50","1","39","27 - 59"
"0","0","2","51","1","59","27 - 59"
"1","0","2","59","0","44","27 - 59"
"0","1","1","53","1","58","27 - 59"
"0","0","2","53","1","67","60 - 94"
"1","1","0","50","1","39","27 - 59"
"1","0","1","59","1","37","27 - 59"
"1","0","2","54","1","40","27 - 59"
"1","1","0","56","0","25","23 - 26"
"1","0","2","49","0","53","27 - 59"
"1","0","2","55","1","46","27 - 59"
"0","1","0","52","1","54","27 - 59"
"0","1","0","51","1","28","27 - 59"
"1","0","2","55","1","47","27 - 59"
"0","1","0","52","1","28","27 - 59"
"1","1","0","54","1","37","27 - 59"
"0","0","1","48","1","47","27 - 59"
"1","1","0","57","0","42","27 - 59"
"0","1","0","54","0","43","27 - 59"
"1","0","2","53","0","53","27 - 59"
"1","0","1","52","1","36","27 - 59"
"0","1","0","46","0","55","27 - 59"
